# t(min) G(mM) I(pM)
0.0000 9.1667 52.0000
1.0000 9.2677 60.0000
2.0000 9.3687 68.0000
3.0000 9.4697 76.0000
4.0000 9.5707 84.0000
5.0000 9.6717 92.0000
6.0000 9.7727 100.0000
7.0000 9.8737 108.0000
8.0000 9.9747 116.0000
9.0000 10.0758 124.0000
10.0000 10.1768 132.0000
11.0000 10.2778 140.0000
12.0000 10.6061 149.0909
13.0000 10.9343 158.1818
14.0000 11.2626 167.2727
15.0000 11.5909 176.3636
16.0000 11.9192 185.4545
17.0000 12.2475 194.5455
18.0000 12.5758 203.6364
19.0000 12.9040 212.7273
20.0000 13.2323 221.8182
21.0000 13.5606 230.9091
22.0000 13.8889 240.0000
23.0000 14.1010 238.3636
24.0000 14.3131 236.7273
25.0000 14.5253 235.0909
26.0000 14.7374 233.4545
27.0000 14.9495 231.8182
28.0000 15.1616 230.1818
29.0000 15.3737 228.5455
30.0000 15.5859 226.9091
31.0000 15.7980 225.2727
32.0000 16.0101 223.6364
33.0000 16.2222 222.0000
34.0000 16.3636 223.6364
35.0000 16.5051 225.2727
36.0000 16.6465 226.9091
37.0000 16.7879 228.5455
38.0000 16.9293 230.1818
39.0000 17.0707 231.8182
40.0000 17.2121 233.4545
41.0000 17.3535 235.0909
42.0000 17.4949 236.7273
43.0000 17.6364 238.3636
44.0000 17.7778 240.0000
45.0000 17.8586 241.8182
46.0000 17.9394 243.6364
47.0000 18.0202 245.4545
48.0000 18.1010 247.2727
49.0000 18.1818 249.0909
50.0000 18.2626 250.9091
51.0000 18.3434 252.7273
52.0000 18.4242 254.5455
53.0000 18.5051 256.3636
54.0000 18.5859 258.1818
55.0000 18.6667 260.0000
56.0000 18.6768 262.7273
57.0000 18.6869 265.4545
58.0000 18.6970 268.1818
59.0000 18.7071 270.9091
60.0000 18.7172 273.6364
61.0000 18.7273 276.3636
62.0000 18.7374 279.0909
63.0000 18.7475 281.8182
64.0000 18.7576 284.5455
65.0000 18.7677 287.2727
66.0000 18.7778 290.0000
67.0000 18.7374 294.5455
68.0000 18.6970 299.0909
69.0000 18.6566 303.6364
70.0000 18.6162 308.1818
71.0000 18.5758 312.7273
72.0000 18.5354 317.2727
73.0000 18.4949 321.8182
74.0000 18.4545 326.3636
75.0000 18.4141 330.9091
76.0000 18.3737 335.4545
77.0000 18.3333 340.0000
78.0000 18.2424 342.7273
79.0000 18.1515 345.4545
80.0000 18.0606 348.1818
81.0000 17.9697 350.9091
82.0000 17.8788 353.6364
83.0000 17.7879 356.3636
84.0000 17.6970 359.0909
85.0000 17.6061 361.8182
86.0000 17.5152 364.5455
87.0000 17.4242 367.2727
88.0000 17.3333 370.0000
89.0000 17.1970 371.3636
90.0000 17.0606 372.7273
91.0000 16.9242 374.0909
92.0000 16.7879 375.4545
93.0000 16.6515 376.8182
94.0000 16.5152 378.1818
95.0000 16.3788 379.5455
96.0000 16.2424 380.9091
97.0000 16.1061 382.2727
98.0000 15.9697 383.6364
99.0000 15.8333 385.0000
100.0000 15.7475 383.6364
101.0000 15.6616 382.2727
102.0000 15.5758 380.9091
103.0000 15.4899 379.5455
