# t(min) G(mM) I(pM)
0.0000 5.1111 25.0000
1.0000 5.3535 43.6364
2.0000 5.5960 62.2727
3.0000 5.8384 80.9091
4.0000 6.0808 99.5455
5.0000 6.3232 118.1818
6.0000 6.5657 136.8182
7.0000 6.8081 155.4545
8.0000 7.0505 174.0909
9.0000 7.2929 192.7273
10.0000 7.5354 211.3636
11.0000 7.7778 230.0000
12.0000 7.9697 236.3636
13.0000 8.1616 242.7273
14.0000 8.3535 249.0909
15.0000 8.5455 255.4545
16.0000 8.7374 261.8182
17.0000 8.9293 268.1818
18.0000 9.1212 274.5455
19.0000 9.3131 280.9091
20.0000 9.5051 287.2727
21.0000 9.6970 293.6364
22.0000 9.8889 300.0000
23.0000 9.8737 302.3636
24.0000 9.8586 304.7273
25.0000 9.8434 307.0909
26.0000 9.8283 309.4545
27.0000 9.8131 311.8182
28.0000 9.7980 314.1818
29.0000 9.7828 316.5455
30.0000 9.7677 318.9091
31.0000 9.7525 321.2727
32.0000 9.7374 323.6364
33.0000 9.7222 326.0000
34.0000 9.6465 329.0909
35.0000 9.5707 332.1818
36.0000 9.4949 335.2727
37.0000 9.4192 338.3636
38.0000 9.3434 341.4545
39.0000 9.2677 344.5455
40.0000 9.1919 347.6364
41.0000 9.1162 350.7273
42.0000 9.0404 353.8182
43.0000 8.9646 356.9091
44.0000 8.8889 360.0000
45.0000 8.7980 355.9091
46.0000 8.7071 351.8182
47.0000 8.6162 347.7273
48.0000 8.5253 343.6364
49.0000 8.4343 339.5455
50.0000 8.3434 335.4545
51.0000 8.2525 331.3636
52.0000 8.1616 327.2727
53.0000 8.0707 323.1818
54.0000 7.9798 319.0909
55.0000 7.8889 315.0000
56.0000 7.8131 306.3636
57.0000 7.7374 297.7273
58.0000 7.6616 289.0909
59.0000 7.5859 280.4545
60.0000 7.5101 271.8182
61.0000 7.4343 263.1818
62.0000 7.3586 254.5455
63.0000 7.2828 245.9091
64.0000 7.2071 237.2727
65.0000 7.1313 228.6364
66.0000 7.0556 220.0000
67.0000 6.9798 212.5455
68.0000 6.9040 205.0909
