# t(min) dG/dt(mM/min) G(mM)
0.0000 0.0472 0.0000
1.0000 0.0570 0.2188
2.0000 0.0687 0.2660
3.0000 0.0826 0.3230
4.0000 0.0990 0.3917
5.0000 0.1181 0.4743
6.0000 0.1403 0.5732
7.0000 0.1658 0.6914
8.0000 0.1945 0.8317
9.0000 0.2265 0.9975
10.0000 0.2613 1.1920
11.0000 0.2983 1.4185
12.0000 0.3366 1.6798
13.0000 0.3747 1.9782
14.0000 0.4108 2.3148
15.0000 0.4432 2.6894
16.0000 0.4697 3.1003
17.0000 0.4885 3.5434
18.0000 0.4983 4.0131
19.0000 0.4983 4.5017
20.0000 0.4885 5.0000
21.0000 0.4697 5.4983
22.0000 0.4432 5.9869
23.0000 0.4108 6.4566
24.0000 0.3747 6.8997
25.0000 0.3366 7.3106
26.0000 0.2983 7.6852
27.0000 0.2613 8.0218
28.0000 0.2265 8.3202
29.0000 0.1945 8.5815
30.0000 0.1658 8.8080
31.0000 0.1403 9.0025
32.0000 0.1181 9.1683
33.0000 0.0990 9.3086
34.0000 0.0826 9.4268
35.0000 0.0687 9.5257
36.0000 0.0570 9.6083
37.0000 0.0472 9.6770
38.0000 0.0390 9.7340
39.0000 0.0321 9.7812
40.0000 0.0265 9.8201
41.0000 0.0218 9.8523
42.0000 0.0179 9.8787
43.0000 0.0147 9.9005
44.0000 0.0121 9.9184
45.0000 0.0099 9.9331
46.0000 0.0081 9.9451
47.0000 0.0067 9.9550
48.0000 0.0055 9.9632
49.0000 0.0045 9.9698
50.0000 0.0037 9.9753
51.0000 0.0030 9.9797
52.0000 0.0025 9.9834
53.0000 0.0020 9.9864
54.0000 0.0017 9.9889
55.0000 0.0014 9.9909
56.0000 0.0011 9.9925
57.0000 0.0009 9.9939
58.0000 0.0007 9.9950
59.0000 0.0000 9.9959
60.0000 0.0000 9.9698
61.0000 0.0000 9.9698
62.0000 0.0000 9.9698
63.0000 0.0000 9.9698
64.0000 0.0000 9.9698
65.0000 0.0000 9.9698
66.0000 0.0000 9.9698
67.0000 0.0000 9.9698
68.0000 0.0000 9.9698
69.0000 0.0000 9.9698
70.0000 0.0000 9.9698
71.0000 0.0000 9.9698
72.0000 0.0000 9.9698
73.0000 0.0000 9.9698
74.0000 0.0000 9.9698
75.0000 0.0000 9.9698
76.0000 0.0000 9.9698
77.0000 0.0000 9.9698
78.0000 0.0000 9.9698
79.0000 0.0000 9.9698
80.0000 0.0000 9.9698
81.0000 0.0000 9.9698
82.0000 0.0000 9.9698
83.0000 0.0000 9.9698
84.0000 0.0000 9.9698
85.0000 0.0000 9.9698
86.0000 0.0000 9.9698
87.0000 0.0000 9.9698
88.0000 0.0000 9.9698
89.0000 0.0000 9.9698
90.0000 0.0000 9.9698
91.0000 0.0000 9.9698
92.0000 0.0000 9.9698
93.0000 0.0000 9.9698
94.0000 0.0000 9.9698
95.0000 0.0000 9.9698
96.0000 0.0000 9.9698
97.0000 0.0000 9.9698
98.0000 0.0000 9.9698
99.0000 0.0000 9.9698
100.0000 0.0000 9.9698
101.0000 0.0000 9.9698
102.0000 0.0000 9.9698
103.0000 0.0000 9.9698
104.0000 0.0000 9.9698
105.0000 0.0000 9.9698
106.0000 0.0000 9.9698
107.0000 0.0000 9.9698
108.0000 0.0000 9.9698
109.0000 0.0000 9.9698
110.0000 0.0000 9.9698
111.0000 0.0000 9.9698
112.0000 0.0000 9.9698
113.0000 0.0000 9.9698
114.0000 0.0000 9.9698
115.0000 0.0000 9.9698
116.0000 0.0000 9.9698
117.0000 0.0000 9.9698
118.0000 0.0000 9.9698
119.0000 0.0000 9.9698
120.0000 0.0000 9.9698
121.0000 0.0000 9.9698
122.0000 0.0000 9.9698
123.0000 0.0000 9.9698
124.0000 0.0000 9.9698
125.0000 0.0000 9.9698
126.0000 0.0000 9.9698
127.0000 0.0000 9.9698
128.0000 0.0000 9.9698
129.0000 0.0000 9.9698
130.0000 0.0000 9.9698
131.0000 0.0000 9.9698
132.0000 0.0000 9.9698
133.0000 0.0000 9.9698
134.0000 0.0000 9.9698
135.0000 0.0000 9.9698
136.0000 0.0000 9.9698
137.0000 0.0000 9.9698
138.0000 0.0000 9.9698
139.0000 0.0000 9.9698
140.0000 0.0000 9.9698
141.0000 0.0000 9.9698
142.0000 0.0000 9.9698
143.0000 0.0000 9.9698
144.0000 0.0000 9.9698
145.0000 0.0000 9.9698
146.0000 0.0000 9.9698
147.0000 0.0000 9.9698
148.0000 0.0000 9.9698
149.0000 0.0000 9.9698
150.0000 0.0000 9.9698
151.0000 0.0000 9.9698
152.0000 0.0000 9.9698
153.0000 0.0000 9.9698
154.0000 0.0000 9.9698
155.0000 0.0000 9.9698
156.0000 0.0000 9.9698
157.0000 0.0000 9.9698
158.0000 0.0000 9.9698
159.0000 0.0000 9.9698
160.0000 0.0000 9.9698
161.0000 0.0000 9.9698
162.0000 0.0000 9.9698
163.0000 0.0000 9.9698
164.0000 0.0000 9.9698
165.0000 0.0000 9.9698
166.0000 0.0000 9.9698
167.0000 0.0000 9.9698
168.0000 0.0000 9.9698
169.0000 0.0000 9.9698
170.0000 0.0000 9.9698
171.0000 0.0000 9.9698
172.0000 0.0000 9.9698
173.0000 0.0000 9.9698
174.0000 0.0000 9.9698
175.0000 0.0000 9.9698
176.0000 0.0000 9.9698
177.0000 0.0000 9.9698
178.0000 0.0000 9.9698
179.0000 0.0000 9.9698
180.0000 0.0000 9.9698
181.0000 0.0000 9.9698
182.0000 0.0000 9.9698
183.0000 0.0000 9.9698
184.0000 0.0000 9.9698
185.0000 0.0000 9.9698
186.0000 0.0000 9.9698
187.0000 0.0000 9.9698
188.0000 0.0000 9.9698
189.0000 0.0000 9.9698
190.0000 0.0000 9.9698
191.0000 0.0000 9.9698
192.0000 0.0000 9.9698
193.0000 0.0000 9.9698
194.0000 0.0000 9.9698
195.0000 0.0000 9.9698
196.0000 0.0000 9.9698
197.0000 0.0000 9.9698
198.0000 0.0000 9.9698
199.0000 0.0000 9.9698
200.0000 0.0000 9.9698
201.0000 0.0000 9.9698
202.0000 0.0000 9.9698
203.0000 0.0000 9.9698
204.0000 0.0000 9.9698
205.0000 0.0000 9.9698
206.0000 0.0000 9.9698
207.0000 0.0000 9.9698
208.0000 0.0000 9.9698
209.0000 0.0000 9.9698
